name,lat,lon
Bear Lake,40.3123,-105.6465
Caribou,39.98136,-105.57943
Heavenly,38.934799,-119.902521
Kirkwood,38.676423,-120.070006
Loveland,39.67262,-105.905496
Steamboat,40.452864926218034, -106.77210805620173
Alyeska,60.957333579790124, -149.08116384092165
Turnagain Pass,60.80222686708389, -149.1869807888984
Cameron Pass,40.5461102635124, -105.90168990339777
Berthoud Pass,39.80016574960889, -105.78143275171763
Winter Park,39.84482, -105.78203
Brainard, 40.05922, -105.58127
Copper, 39.4828965029586, -106.16238634950587
Jones Pass, 39.77531, -105.87899
Alta, 40.577386562825886, -111.62401464417702
Niwot Ridge, 40.05413, -105.58902
